                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.45641,                0.59065,                 1.0024,                0.86182,                0.83931,                0.90819,                0.85824,                 0.3556,                0.47437,                0.91558,             0.00051177,             0.00051177,             0.00051177
                     37,                0.45499,                0.57706,                 1.0064,                0.82125,                0.85749,                0.90984,                0.85647,                0.35412,                0.50089,                0.91621,             0.00047876,             0.00047876,             0.00047876
                     38,                 0.4479,                0.56616,                 0.9881,                0.82873,                0.86494,                0.91849,                 0.8706,                0.35218,                 0.4751,                 0.9143,             0.00044576,             0.00044576,             0.00044576
                     39,                0.42651,                0.53775,                 0.9808,                0.81879,                0.90102,                0.92109,                0.86841,                 0.3489,                0.48108,                0.91022,             0.00041275,             0.00041275,             0.00041275
                     40,                0.42864,                0.52915,                0.98609,                0.84113,                0.88851,                0.91755,                0.87024,                0.34917,                0.48083,                0.91024,             0.00037974,             0.00037974,             0.00037974
                     41,                 0.3424,                0.46002,                0.90878,                0.81492,                0.84208,                0.90385,                0.85129,                0.35446,                0.51928,                0.92373,             0.00034674,             0.00034674,             0.00034674
                     42,                 0.3405,                0.42582,                0.92118,                0.85626,                0.83261,                0.90905,                0.85522,                0.34816,                0.48955,                0.91394,             0.00031373,             0.00031373,             0.00031373
                     43,                 0.3406,                0.43085,                0.92424,                0.85522,                0.85912,                0.91462,                0.86491,                0.34717,                0.49768,                0.91288,             0.00028072,             0.00028072,             0.00028072
                     44,                0.33366,                0.40916,                0.90639,                0.79758,                 0.8441,                 0.8952,                0.84708,                0.34217,                0.54023,                0.90246,             0.00024772,             0.00024772,             0.00024772
                     45,                0.33256,                0.40182,                0.91148,                0.83658,                0.90329,                0.92055,                0.87237,                0.34101,                0.44944,                0.90871,             0.00021471,             0.00021471,             0.00021471
                     46,                0.32342,                0.38021,                0.89634,                0.83608,                0.87482,                0.91353,                0.86563,                 0.3357,                 0.4761,                0.89838,              0.0001817,              0.0001817,              0.0001817
                     47,                0.31732,                0.38136,                0.89956,                 0.8286,                0.88231,                0.91014,                0.86076,                0.33569,                0.48311,                0.89725,              0.0001487,              0.0001487,              0.0001487
                     48,                0.30807,                0.36996,                0.89416,                0.81686,                0.90352,                0.91097,                0.86347,                0.33474,                0.47108,                0.89784,             0.00011569,             0.00011569,             0.00011569
                     49,                0.31494,                  0.353,                0.89542,                0.83567,                0.88027,                0.91483,                0.86614,                 0.3305,                0.47192,                0.89795,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.31047,                0.34738,                0.89743,                0.82153,                 0.8954,                0.91589,                0.86858,                0.32942,                0.45996,                0.89658,             4.9677e-05,             4.9677e-05,             4.9677e-05
