                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.4765,                0.60392,                 1.0137,                0.86604,                 0.7848,                0.89536,                0.83558,                 0.3753,                0.54804,                0.92974,             0.00084184,             0.00084184,             0.00084184
                     37,                0.47131,                0.62584,                 1.0102,                0.84694,                0.85309,                0.89953,                0.84296,                0.37106,                0.52686,                0.92687,             0.00081826,             0.00081826,             0.00081826
                     38,                0.47847,                0.61955,                0.99961,                 0.8501,                0.79668,                0.89706,                0.84271,                0.36721,                0.51148,                0.91799,             0.00079468,             0.00079468,             0.00079468
                     39,                 0.4594,                0.58747,                0.99596,                0.84807,                 0.8107,                0.89224,                0.83606,                0.37216,                0.58263,                0.92649,             0.00077111,             0.00077111,             0.00077111
                     40,                0.45906,                 0.5775,                 1.0022,                0.80417,                0.85236,                0.90441,                0.85177,                0.35393,                0.50931,                0.90733,             0.00074753,             0.00074753,             0.00074753
                     41,                 0.4492,                0.57311,                0.98634,                0.76534,                0.91459,                0.90604,                0.85163,                 0.3587,                0.50879,                0.92006,             0.00072395,             0.00072395,             0.00072395
                     42,                0.46751,                 0.5758,                0.99803,                0.82424,                0.84525,                0.90451,                0.84847,                0.37217,                 0.5188,                0.93021,             0.00070038,             0.00070038,             0.00070038
                     43,                0.45339,                0.55081,                0.99388,                0.78148,                0.89352,                0.90401,                0.84998,                0.35796,                0.51328,                0.91887,              0.0006768,              0.0006768,              0.0006768
                     44,                0.44382,                0.55146,                 0.9867,                0.81114,                0.84639,                0.90559,                0.84852,                0.36199,                0.50602,                0.93184,             0.00065323,             0.00065323,             0.00065323
                     45,                0.44906,                0.53261,                0.99131,                0.82661,                0.84145,                0.90442,                0.85065,                0.35348,                0.49396,                0.91777,             0.00062965,             0.00062965,             0.00062965
                     46,                 0.4443,                0.53068,                0.99328,                0.80811,                0.83158,                0.89569,                0.84377,                0.35993,                0.55263,                 0.9178,             0.00060607,             0.00060607,             0.00060607
                     47,                0.44996,                0.53674,                0.98401,                0.79066,                0.88726,                0.91255,                0.86054,                0.35546,                 0.5026,                 0.9188,              0.0005825,              0.0005825,              0.0005825
                     48,                0.42688,                0.50831,                0.97118,                0.86279,                0.86489,                0.92196,                 0.8694,                0.33977,                0.46973,                0.90659,             0.00055892,             0.00055892,             0.00055892
                     49,                0.43349,                0.52699,                0.99736,                 0.8157,                0.89331,                0.91692,                0.86154,                0.34989,                0.47583,                0.92133,             0.00053535,             0.00053535,             0.00053535
                     50,                 0.4527,                0.50461,                 1.0137,                0.82675,                0.87283,                0.92262,                 0.8638,                0.35548,                0.46782,                0.90778,             0.00051177,             0.00051177,             0.00051177
                     51,                 0.4332,                0.48458,                0.98794,                0.84791,                0.86371,                0.91812,                0.86178,                0.36075,                 0.4859,                0.92462,             0.00048819,             0.00048819,             0.00048819
                     52,                0.43283,                 0.5103,                0.98003,                0.81274,                0.88161,                0.91409,                0.86111,                0.35862,                0.48692,                0.92191,             0.00046462,             0.00046462,             0.00046462
                     53,                0.43175,                0.48455,                0.97463,                0.83036,                0.88184,                0.90844,                0.85499,                0.35819,                0.48353,                0.92473,             0.00044104,             0.00044104,             0.00044104
                     54,                 0.4036,                0.48158,                0.96603,                0.80735,                0.89344,                 0.9195,                0.86909,                0.34133,                 0.5056,                0.90847,             0.00041746,             0.00041746,             0.00041746
                     55,                0.41142,                0.46258,                0.97722,                0.80426,                0.89596,                0.91138,                0.86451,                0.33954,                0.47381,                 0.8998,             0.00039389,             0.00039389,             0.00039389
                     56,                0.40927,                0.45813,                0.96933,                0.84456,                0.86149,                0.91711,                0.86965,                0.33653,                0.46391,                0.90166,             0.00037031,             0.00037031,             0.00037031
                     57,                0.43114,                 0.4783,                 0.9797,                0.83379,                0.87059,                0.91259,                0.86868,                0.33689,                0.50093,                0.89865,             0.00034674,             0.00034674,             0.00034674
                     58,                0.41454,                0.46644,                0.98253,                0.84258,                0.85821,                0.91591,                0.86747,                0.33624,                0.46506,                0.90053,             0.00032316,             0.00032316,             0.00032316
                     59,                0.40303,                0.44795,                 0.9618,                0.85713,                 0.8584,                0.91308,                0.86381,                0.34093,                0.48011,                0.90209,             0.00029958,             0.00029958,             0.00029958
                     60,                0.40657,                0.43856,                0.96503,                0.85696,                0.85724,                0.91164,                0.86513,                0.33623,                0.46335,                0.90427,             0.00027601,             0.00027601,             0.00027601
                     61,                0.32782,                0.37576,                 0.9154,                0.85393,                0.85095,                0.90375,                0.86112,                0.33667,                0.49869,                0.89519,             0.00025243,             0.00025243,             0.00025243
                     62,                0.31938,                0.35189,                0.89395,                0.78797,                 0.9119,                0.88854,                 0.8394,                0.34278,                 0.5123,                0.91161,             0.00022886,             0.00022886,             0.00022886
                     63,                  0.317,                0.34596,                0.89155,                 0.7958,                0.92285,                0.90487,                 0.8577,                 0.3307,                0.46932,                 0.9008,             0.00020528,             0.00020528,             0.00020528
                     64,                0.30758,                0.32738,                0.90475,                0.85195,                0.86729,                0.90137,                0.85509,                0.33239,                0.46158,                0.89621,              0.0001817,              0.0001817,              0.0001817
                     65,                0.30183,                0.31731,                0.88532,                0.84296,                0.87283,                0.89014,                0.84841,                0.32927,                0.45601,                0.89347,             0.00015813,             0.00015813,             0.00015813
                     66,                0.30045,                0.32526,                0.88673,                 0.8273,                0.88933,                0.88313,                 0.8363,                0.33379,                0.47384,                0.90348,             0.00013455,             0.00013455,             0.00013455
                     67,                 0.3017,                0.31284,                0.88304,                0.83039,                0.91048,                0.88233,                0.83719,                0.32848,                 0.4456,                0.89761,             0.00011097,             0.00011097,             0.00011097
                     68,                0.29462,                0.30199,                0.88303,                0.83065,                0.88788,                0.89038,                 0.8462,                0.32362,                0.45599,                  0.894,             8.7398e-05,             8.7398e-05,             8.7398e-05
                     69,                  0.301,                0.29789,                 0.8876,                0.84201,                0.89016,                0.89639,                0.85218,                0.32395,                0.44673,                0.89614,             6.3822e-05,             6.3822e-05,             6.3822e-05
                     70,                0.28785,                0.26959,                0.88246,                0.83639,                0.89841,                0.89483,                0.85166,                0.32283,                0.44502,                0.89485,             4.0246e-05,             4.0246e-05,             4.0246e-05
